Key,Value
0,12
1,8
2,10
3,4
4,3
5,15
6,6
7,8
8,16
9,15
10,15
11,13
12,1
13,14
14,11
15,15
16,16
17,3
18,10
19,14
20,12
21,13
22,7
23,5
24,14
25,10
26,15
27,10
28,11
29,13
30,1
31,9
32,8
33,12
34,8
35,12
36,7
37,9
38,12
39,2
40,11
41,2
42,13
43,13
44,7
45,19
46,11
47,2
48,11
49,3
50,7
51,13
52,0
53,11
54,4
55,13
56,4
57,5
58,13
59,7
60,3
61,2
62,6
63,16
64,10
65,6
66,7
67,1
68,9
69,0
70,7
71,9
72,2
73,6
74,11
75,2
76,4
77,12
78,2
79,11
80,3
81,3
82,6
83,3
84,12
85,13
86,2
87,0
88,8
89,15
90,8
91,14
92,13
93,12
94,8
95,3
96,5
97,5
98,2
99,10
100,2
101,8
102,9
103,14
104,15
105,10
106,9
107,8
108,1
109,11
110,9
111,17
112,1
113,11
114,10
115,3
116,6
117,3
118,9
119,4
120,12
121,11
122,12
123,8
124,11
125,11
126,10
127,11
128,15
129,8
130,3
131,12
132,5
133,9
134,5
135,5
136,7
137,5
138,13
139,10
140,10
141,9
142,13
143,10
144,11
145,7
146,11
147,8
148,2
149,3
150,3
151,3
152,5
153,1
154,2
155,3
156,5
157,7
158,11
159,10
160,13
161,0
162,0
163,15
164,6
165,3
166,0
167,12
168,1
169,10
170,16
171,18
172,3
173,5
174,3
175,2
176,13
177,11
178,7
179,2
180,13
181,5
182,16
183,0
184,13
185,10
186,9
187,15
188,3
189,13
190,5
191,2
192,0
193,11
194,10
195,8
196,2
197,8
198,10
199,4
200,13
201,7
202,11
203,11
204,13
205,13
206,3
207,12
208,10
209,9
210,9
211,6
212,3
213,1
214,13
215,7
216,10
217,16
218,11
219,16
220,10
221,11
222,12
223,10
224,8
225,5
226,4
227,10
228,12
229,13
230,6
231,6
232,6
233,6
234,9
235,6
236,4
237,1
238,4
239,13
240,8
241,16
242,2
243,9
244,17
245,6
246,13
247,14
248,5
249,11
250,9
251,14
252,10
253,1
254,16
255,3
256,0
257,10
258,8
259,5
260,9
261,5
262,15
263,0
264,8
265,11
266,10
267,12
268,6
269,1
270,2
271,9
272,13
273,7
274,5
275,13
276,11
277,10
278,3
279,8
280,4
281,9
282,14
283,0
284,5
285,0
286,0
287,2
288,1
289,5
290,3
291,5
292,4
293,9
294,8
295,2
296,14
297,7
298,5
299,8
300,9
301,3
302,7
303,0
304,2
305,4
306,5
307,2
308,5
309,0
310,5
311,5
312,1
313,14
314,6
315,10
316,12
317,7
318,0
319,0
320,11
321,7
322,2
323,13
324,3
325,2
326,15
327,9
328,6
329,13
330,10
331,7
332,0
333,5
334,6
335,5
336,1
337,1
338,0
339,0
340,12
341,1
342,7
343,4
344,2
345,2
346,12
347,12
348,12
349,9
350,6
351,3
352,9
353,14
354,3
355,4
356,5
357,11
358,15
359,7
360,12
361,10
362,4
363,12
364,11
365,4
366,4
367,9
368,8
369,3
370,8
371,5
372,8
373,9
374,5
375,4
376,1
377,8
378,6
379,2
380,8
381,7
382,12
383,7
384,6
385,4
386,6
387,14
388,3
389,8
390,10
391,2
392,3
393,13
394,10
395,4
396,18
397,5
398,7
399,4
400,2
401,11
402,3
403,4
404,10
405,3
406,8
407,10
408,13
409,8
410,8
411,9
412,12
413,1
414,5
415,3
416,5
417,8
418,3
419,11
420,9
421,7
422,9
423,13
424,4
425,0
426,4
427,8
428,0
429,6
430,13
431,4
432,12
433,11
434,9
435,13
436,8
437,11
438,7
439,8
440,8
441,9
442,2
443,6
444,9
445,8
446,3
447,15
448,11
449,3
450,9
451,8
452,12
453,10
454,7
455,6
456,4
457,6
458,10
459,13
460,3
461,10
462,7
463,7
464,9
465,12
466,0
467,5
468,4
469,2
470,14
471,4
472,2
473,13
474,2
475,0
476,8
477,5
478,1
479,11
480,4
481,9
482,7
483,5
484,0
485,13
486,7
487,12
488,12
489,0
490,13
491,11
492,1
493,4
494,4
495,3
496,9
497,15
498,14
499,10
500,13
501,7
502,10
503,14
504,11
505,6
506,4
507,7
508,13
509,1
510,9
511,7
512,7
513,6
514,3
515,4
516,9
517,7
518,5
519,4
520,5
521,5
522,3
523,7
524,0
525,5
526,13
527,7
528,3
529,5
530,2
531,4
532,2
533,8
534,7
535,12
536,0
537,13
538,8
539,7
540,8
541,7
542,6
543,7
544,18
545,0
546,11
547,17
548,13
549,10
550,7
551,8
552,4
553,12
554,8
555,11
556,2
557,9
558,14
559,0
560,2
561,0
562,6
563,0
564,5
565,11
566,0
567,7
568,11
569,0
570,12
571,14
572,3
573,12
574,10
575,1
576,6
577,13
578,12
579,4
580,11
581,2
582,1
583,2
584,3
585,1
586,5
587,1
588,6
589,18
590,5
591,0
592,0
593,6
594,4
595,5
596,6
597,1
598,6
