Epoch,LOSS,NDCG,HR
0,0.541076729,0.053782461,0.114
1,0.509376285,0.05604814,0.122
2,0.505258309,0.080325458,0.172
3,0.479901013,0.128899254,0.256
4,0.432171804,0.184992652,0.348
5,0.392389261,0.217917095,0.398
6,0.368948098,0.234201921,0.43
7,0.355836465,0.249389707,0.448
8,0.34761901,0.25057704,0.446
9,0.341427434,0.250683739,0.444
10,0.335960019,0.253913775,0.452
11,0.330559066,0.25332588,0.448
12,0.325046601,0.258264086,0.458
13,0.319425992,0.262885362,0.466
14,0.313875879,0.268256972,0.472
15,0.308448387,0.268622441,0.472
16,0.303277256,0.271009208,0.474
17,0.298472977,0.267432235,0.466
18,0.293970134,0.266977107,0.464
19,0.289881067,0.270687957,0.476
20,0.28601233,0.27679684,0.488
21,0.28258887,0.276365299,0.492
22,0.279388247,0.286855093,0.506
23,0.276440042,0.287394832,0.512
24,0.273708917,0.291532537,0.514
25,0.271288833,0.294509496,0.52
26,0.268911015,0.29648523,0.522
27,0.266667973,0.300618381,0.53
28,0.264660499,0.303226788,0.534
29,0.262735245,0.30331047,0.536
30,0.260920726,0.305886749,0.544
31,0.259228057,0.306455915,0.548
32,0.257564291,0.310688667,0.554
33,0.256086044,0.310347565,0.554
34,0.254654509,0.313363327,0.564
35,0.253236083,0.311939272,0.56
36,0.251964279,0.313654431,0.558
37,0.250726479,0.318995596,0.566
38,0.249577515,0.318644198,0.562
39,0.248463303,0.319115809,0.56
40,0.247372952,0.321280398,0.562
41,0.246411756,0.316096483,0.556
42,0.245485709,0.317265563,0.562
43,0.244502862,0.316446501,0.562
44,0.243692497,0.316092451,0.564
45,0.242885628,0.31605151,0.56
46,0.242069431,0.314844849,0.562
47,0.241394423,0.318289532,0.564
48,0.24060933,0.31960285,0.574
49,0.240008425,0.319112074,0.57
50,0.239332922,0.31696533,0.56
51,0.238741387,0.316048153,0.556
52,0.238103694,0.31995313,0.572
53,0.23758332,0.320229309,0.57
54,0.23702521,0.320223576,0.558
55,0.236618304,0.321457504,0.564
56,0.236011452,0.318010189,0.564
57,0.235545892,0.317239296,0.558
58,0.235152461,0.321470192,0.564
59,0.234657433,0.319671267,0.562
60,0.234294193,0.325154204,0.57
61,0.233931651,0.32359259,0.566
62,0.233553693,0.320446887,0.56
63,0.233218327,0.323578724,0.568
64,0.232808932,0.327295831,0.572
65,0.232582009,0.324173222,0.568
66,0.232169615,0.325159746,0.572
67,0.231910382,0.324278486,0.566
68,0.231536455,0.323380111,0.566
69,0.231330742,0.327949694,0.578
70,0.231032278,0.32599596,0.566
