Epoch,LOSS,NDCG,HR
0,0.522608347,0.051706852,0.106
1,0.500465181,0.068154004,0.136
2,0.497849756,0.069491118,0.14
3,0.475090503,0.115327433,0.224
4,0.424507355,0.168888788,0.308
5,0.383063293,0.216390329,0.384
6,0.360821182,0.233790557,0.418
7,0.349311959,0.240714927,0.426
8,0.342383028,0.243706048,0.428
9,0.336759645,0.246597603,0.448
10,0.33170587,0.247540111,0.458
11,0.326536173,0.253642308,0.472
12,0.321153508,0.25692038,0.472
13,0.315857914,0.258846674,0.478
14,0.310676368,0.255699437,0.47
15,0.305835893,0.256559193,0.478
16,0.30113276,0.26479377,0.496
17,0.296783528,0.277853984,0.514
18,0.292627806,0.280363271,0.516
19,0.288801724,0.282108858,0.516
20,0.285030105,0.286293897,0.516
21,0.281598253,0.286668914,0.514
22,0.278300073,0.289904894,0.52
23,0.27525402,0.297244001,0.534
24,0.272275534,0.300631896,0.54
25,0.269535616,0.304213187,0.548
26,0.26696495,0.300165755,0.542
27,0.264522756,0.306755351,0.548
28,0.262322369,0.307395722,0.554
29,0.260191452,0.308795275,0.548
30,0.258221875,0.311636455,0.552
31,0.256433461,0.312345011,0.554
32,0.254777421,0.313401984,0.56
33,0.253209683,0.317403101,0.564
34,0.251737929,0.31455493,0.556
35,0.250402383,0.318931773,0.558
36,0.249127108,0.322820517,0.562
37,0.248032489,0.322568222,0.562
38,0.246875189,0.323802235,0.568
39,0.245842586,0.325325451,0.568
40,0.244945067,0.326864943,0.566
41,0.24402301,0.325205963,0.566
42,0.243164029,0.327983584,0.564
43,0.242468225,0.328796439,0.562
44,0.241668305,0.325125487,0.558
45,0.240943299,0.328261644,0.564
46,0.240374628,0.330377923,0.566
47,0.239724915,0.327277473,0.56
48,0.239178145,0.329348282,0.562
49,0.238578374,0.330488537,0.56
50,0.238139321,0.329901871,0.564
51,0.237573336,0.330483091,0.566
52,0.237162887,0.330295568,0.57
53,0.236654069,0.333058175,0.57
54,0.236261389,0.329157176,0.57
55,0.235938893,0.334919277,0.58
56,0.23557359,0.333841335,0.578
57,0.235047025,0.335393122,0.578
58,0.234740001,0.330863326,0.568
59,0.234426801,0.332978183,0.572
60,0.234105251,0.33027135,0.568
61,0.233758579,0.332462158,0.57
62,0.233469418,0.331678657,0.572
63,0.233165459,0.327757453,0.564
64,0.232960252,0.331615406,0.572
65,0.232656019,0.331148111,0.572
66,0.232372667,0.327124048,0.57
67,0.232175573,0.328242622,0.564
68,0.231855045,0.331759402,0.574
69,0.231694507,0.329224622,0.572
70,0.231564512,0.333800587,0.576
