Epoch,LOSS,NDCG,HR
0,0.500630822,0.00063093,0.002
1,0.500630822,0.00063093,0.002
2,0.500432277,0.00063093,0.002
3,0.500405607,0.00063093,0.002
4,0.500400341,0.00063093,0.002
5,0.500465794,0.00063093,0.002
6,0.500400375,0.00063093,0.002
7,0.500405739,0.00063093,0.002
8,0.500439297,0.00063093,0.002
9,0.500436822,0.00063093,0.002
10,0.500408013,0.00063093,0.002
11,0.500435591,0.00063093,0.002
12,0.500435926,0.00063093,0.002
13,0.50037034,0.00063093,0.002
14,0.500406092,0.00063093,0.002
15,0.500432668,0.00063093,0.002
16,0.500400376,0.00063093,0.002
17,0.500438023,0.00063093,0.002
18,0.500406162,0.00063093,0.002
19,0.500400566,0.00063093,0.002
20,0.500427382,0.00063093,0.002
21,0.500409796,0.00063093,0.002
22,0.500403111,0.00063093,0.002
23,0.500437277,0.00063093,0.002
24,0.500403244,0.00063093,0.002
25,0.500405503,0.00063093,0.002
26,0.500401725,0.00063093,0.002
27,0.50043956,0.00063093,0.002
28,0.500401398,0.00063093,0.002
29,0.500437982,0.00063093,0.002
30,0.500438537,0.00063093,0.002
31,0.500427311,0.00063093,0.002
32,0.500464536,0.00063093,0.002
33,0.500437575,0.00063093,0.002
34,0.5004058,0.00063093,0.002
35,0.500467155,0.00063093,0.002
36,0.500402576,0.00063093,0.002
37,0.500464352,0.00063093,0.002
38,0.500410016,0.00063093,0.002
39,0.500407855,0.00063093,0.002
40,0.500402773,0.00063093,0.002
41,0.500404103,0.00063093,0.002
42,0.500394352,0.00063093,0.002
43,0.500373432,0.00063093,0.002
44,0.500406807,0.00063093,0.002
45,0.500436532,0.00063093,0.002
46,0.500373294,0.00063093,0.002
47,0.50037237,0.00063093,0.002
48,0.500435479,0.00063093,0.002
49,0.500399065,0.00063093,0.002
50,0.500376495,0.00063093,0.002
51,0.500400885,0.00063093,0.002
52,0.500434311,0.00063093,0.002
53,0.500406959,0.00063093,0.002
54,0.500371377,0.00063093,0.002
55,0.500433342,0.00063093,0.002
56,0.500401742,0.00063093,0.002
57,0.500404313,0.00063093,0.002
58,0.500436601,0.00063093,0.002
59,0.50037575,0.00063093,0.002
60,0.500406331,0.00063093,0.002
61,0.500375284,0.00063093,0.002
62,0.500409443,0.00063093,0.002
63,0.500465584,0.00063093,0.002
64,0.50043493,0.00063093,0.002
65,0.500406815,0.00063093,0.002
66,0.500434686,0.00063093,0.002
67,0.500454859,0.00063093,0.002
68,0.500372653,0.00063093,0.002
69,0.500400793,0.00063093,0.002
70,0.500406341,0.00063093,0.002
